id,device,timestamp,ACCOUNT_LABEL,DATE,TIME
0ee1df2a-d0c7-44ea-8d0c-253100d7dcbe-93,478dc69a-833a-42a9-84b3-16fff4b93bfb,1365971926,1,4/14/2013,3:00 PM
0ee1df2a-d0c7-44ea-8d0c-253100d7dcbe-94,478dc69a-833a-42a9-84b3-16fff4b93bfb,1365971926,2,4/14/2013,8:00 PM
2eb05b4a-84b3-4cdf-983d-f75d398dc9f1-31,478dc69a-833a-42a9-84b3-16fff4b93bfb,1366231126,1,4/17/2013,9:00 AM
2eb05b4a-84b3-4cdf-983d-f75d398dc9f1-32,478dc69a-833a-42a9-84b3-16fff4b93bfb,1366231127,2,4/17/2013,8:00 AM
45eee77f-bbe2-4c99-aab1-5d484a5625f4-296,478dc69a-833a-42a9-84b3-16fff4b93bfb,1366317526,1,4/18/2013,4:00 PM
6aedeb61-c3f0-4c13-8e71-0af20faa6455-53,478dc69a-833a-42a9-84b3-16fff4b93bfb,1366490326,1,4/20/2013,12:00 PM
8c14fd3d-2998-4ccf-b06d-c9cb1e62f67c-52,478dc69a-833a-42a9-84b3-16fff4b93bfb,1366576726,1,4/21/2013,8:00 PM
e8238f4d-cf44-4e04-abb9-936f1140e3ed-73,478dc69a-833a-42a9-84b3-16fff4b93bfb,1369583649,1,26/05/2013,20:00
aa52ee6f-6956-4ed4-bd11-b779258c16dc-83,478dc69a-833a-42a9-84b3-16fff4b93bfb,1369670051,1,27/05/2013,8:00
aa52ee6f-6956-4ed4-bd11-b779258c16dc-84,478dc69a-833a-42a9-84b3-16fff4b93bfb,1369670051,2,27/05/2013,9:00
aa52ee6f-6956-4ed4-bd11-b779258c16dc-85,478dc69a-833a-42a9-84b3-16fff4b93bfb,1369670051,3,27/05/2013,12:00
6e1a5391-1040-4906-8095-1c7f6a1447cd-63,478dc69a-833a-42a9-84b3-16fff4b93bfb,1369756458,1,28/05/2013,20:00
a9d4ad0d-535d-43a5-ba17-1634e9fe7e84-59,478dc69a-833a-42a9-84b3-16fff4b93bfb,1369842856,1,29/05/2013,8:00
a9d4ad0d-535d-43a5-ba17-1634e9fe7e84-60,478dc69a-833a-42a9-84b3-16fff4b93bfb,1369842856,2,29/05/2013,15:30
a9d4ad0d-535d-43a5-ba17-1634e9fe7e84-61,478dc69a-833a-42a9-84b3-16fff4b93bfb,1369842856,3,29/05/2013,16:30
a9d4ad0d-535d-43a5-ba17-1634e9fe7e84-62,478dc69a-833a-42a9-84b3-16fff4b93bfb,1369842856,4,29/05/2013,12:00
